city_a,city_b,Cij,distance,cii,cjj
Harbin,Kunming,1,3172440.924,150,150
Changsha,Hohhot,1,1424553.123,105,19
Nanjing,Macau,1,1201893.287,490,667
Nanjing,Hohhot,1,1186929.096,490,19
Nanchang,Macau,1,758326.8966,30,667
Nanchang,Hohhot,1,1425286.573,30,19
Wuhan,Changsha,6,291753.4321,233,105
Wuhan,Tianjin,4,1015119.595,233,429
Chongqing,Wuhan,5,617274.5798,448,233
Chongqing,Zhengzhou,2,730423.982,448,61
Wuhan,Harbin,1,2054620.401,233,150
Wuhan,Hohhot,1,1174396.978,233,19
Harbin,Hohhot,2,1417620.456,150,19
Hefei,Shijiazhuang,2,760406.8206,67,43
Hefei,Shanghai,2,392545.3638,67,6777
Shijiazhuang,Shanghai,1,1003367.324,43,6777
Chongqing,Changsha,4,548000.9198,448,105
Guangzhou,Guiyang,3,789513.5516,842,23
Beijing,Fuzhou,2,1609893.351,19820,32
Fuzhou,Hangzhou,2,430549.6349,32,368
Macau,Lhasa,1,2395514.729,667,373
Beijing,Jinan,5,393690.2398,19820,107
Hefei,Beijing,3,950845.5823,67,19820
Hefei,Kunming,2,1569666.81,67,150
Harbin,Jinan,2,1344349.442,150,107
Beijing,Changchun,3,895521.4986,19820,52
Chongqing,Guiyang,2,377013.5207,448,23
Chongqing,Nanchang,2,798212.012,448,30
Chongqing,Hangzhou,2,1105088.76,448,368
Guangzhou,Chengdu,19,1247753.806,842,496
Guangzhou,Kunming,4,1106330.574,842,150
Nanjing,Chengdu,7,1405451.486,490,496
Nanjing,Shanghai,38,256174.2705,490,6777
Nanjing,Kunming,6,1708078.611,490,150
Chengdu,Kunming,5,597083.3165,496,150
Shanghai,Kunming,9,1915904.221,6777,150
Urumqi,Kunming,2,2465265.118,200,150
Wuhan,Shenyang,4,1507630.103,233,113
Beijing,Shenyang,8,596248.7135,19820,113
Zhengzhou,Shijiazhuang,2,405152.0164,61,43
Zhengzhou,Taiyuan,1,390107.617,61,48
Zhengzhou,Tianjin,3,626559.1693,61,429
Shijiazhuang,Taiyuan,1,184072.2332,43,48
Shijiazhuang,Tianjin,2,279851.7179,43,429
Taiyuan,Tianjin,1,454582.6533,48,429
Macau,Shanghai,16,1270376.71,667,6777
Beijing,Tianjin,46,126033.0966,19820,429
Shenyang,Macau,3,2399605.305,113,667
Shenyang,Chengdu,7,2122494.349,113,496
Macau,Chengdu,8,1338915.899,667,496
Macau,Taipei,3,874288.5357,667,676
Shenyang,Hangzhou,2,1413504.468,113,368
Macau,Hangzhou,1,1038911.312,667,368
Shanghai,Tianjin,25,984385.8097,6777,429
Nanjing,Hangzhou,5,235357.3035,490,368
Chongqing,Jinan,5,1129658.254,448,107
Guangzhou,Nanning,2,522928.0992,842,72
Guangzhou,Shijiazhuang,1,1659352.828,842,43
Guangzhou,Haikou,1,504509.228,842,13
Guangzhou,Changsha,4,542864.6747,842,105
Guangzhou,Nanchang,2,640150.9141,842,30
Guangzhou,Jinan,2,1537208.695,842,107
Guangzhou,Tianjin,16,1824021.558,842,429
Nanning,Shijiazhuang,1,1780674.904,72,43
Nanning,Haikou,1,408396.4722,72,13
Nanning,Changsha,1,741511.2273,72,105
Nanning,Nanjing,2,1418213.061,72,490
Nanning,Nanchang,2,978659.824,72,30
Nanning,Shenyang,2,2524764.812,72,113
Nanning,Chengdu,1,956560.0221,72,496
Nanning,Jinan,2,1737505.52,72,107
Shijiazhuang,Haikou,1,2078302.854,43,13
Shijiazhuang,Changsha,3,1121830.502,43,105
Shijiazhuang,Nanjing,1,803958.2012,43,490
Shijiazhuang,Nanchang,1,1077046.501,43,30
Shijiazhuang,Shenyang,2,855289.9646,43,113
Shijiazhuang,Chengdu,2,1268823.129,43,496
Shijiazhuang,Jinan,2,278946.622,43,107
Haikou,Changsha,1,967588.948,13,105
Haikou,Nanjing,1,1582505.617,13,490
Haikou,Nanchang,1,1129196.678,13,30
Haikou,Shenyang,1,2757637.038,13,113
Haikou,Chengdu,1,1364201.076,13,496
Haikou,Jinan,1,1992073.404,13,107
Changsha,Nanjing,1,682364.1689,105,490
Changsha,Nanchang,1,283031.1385,105,30
Changsha,Shenyang,2,1798448.22,105,113
Changsha,Chengdu,5,925129.8157,105,496
Changsha,Jinan,3,1024835.538,105,107
Nanjing,Nanchang,2,453869.2844,490,30
Nanjing,Shenyang,3,1207617.381,490,113
Nanjing,Jinan,3,565793.1644,490,107
Nanchang,Shenyang,2,1641332.1,30,113
Nanchang,Chengdu,1,1177990.111,30,496
Nanchang,Jinan,2,915056.3251,30,107
Shenyang,Jinan,3,792248.8239,113,107
Shenyang,Tianjin,5,577023.6144,113,429
Chengdu,Jinan,3,1379974.347,496,107
Chengdu,Tianjin,5,1545481.502,496,429
Jinan,Tianjin,2,290361.695,107,429
Shanghai,Lhasa,3,2863887.296,6777,373
Chongqing,Tianjin,6,1344811.46,448,429
Beijing,Kunming,10,2075876.401,19820,150
Lhasa,Kunming,1,1263864.191,373,150
Beijing,Xining,1,1335760.123,19820,34
Xining,Lhasa,5,1216267.974,34,373
Tianjin,Kunming,3,2055010.343,429,150
Zhengzhou,Shanghai,5,828171.5636,61,6777
Chongqing,Urumqi,1,2331034.611,448,200
Harbin,Shanghai,6,1718473.119,150,6777
Guangzhou,Hangzhou,6,936199.3631,842,368
Changsha,Shanghai,4,860139.2891,105,6777
Changsha,Hangzhou,3,636742.5211,105,368
Beijing,Zhengzhou,3,678005.454,19820,61
Zhengzhou,Changsha,3,720180.8589,61,105
Zhengzhou,Wuhan,2,458190.7389,61,233
Guangzhou,Harbin,3,2813548.971,842,150
Harbin,Shenyang,2,552118.1472,150,113
Harbin,Chengdu,2,2658255.709,150,496
Taiyuan,Hangzhou,1,1116899.257,48,368
Fuzhou,Shanghai,1,617255.8824,32,6777
Chengdu,Urumqi,1,2034441.426,496,200
Shanghai,Urumqi,2,3225335.962,6777,200
Guiyang,Wuhan,2,851130.4654,23,233
Guiyang,Nanjing,2,1295981.546,23,490
Guiyang,Chengdu,2,503738.471,23,496
Guiyang,Kunming,2,414946.0516,23,150
Wuhan,Nanjing,4,447140.9049,233,490
Wuhan,Chengdu,5,984298.8902,233,496
Wuhan,Kunming,3,1261675.083,233,150
Guiyang,Tianjin,1,1706279.058,23,429
Guiyang,Hangzhou,1,1285328.556,23,368
Nanchang,Tianjin,2,1205210.229,30,429
Nanchang,Hangzhou,1,358932.3336,30,368
Tianjin,Hangzhou,5,1077979.736,429,368
Guangzhou,Wuhan,4,813949.1757,842,233
Fuzhou,Guangzhou,2,644729.963,32,842
Beijing,Yinchuan,1,881370.0754,19820,9
Guangzhou,Zhengzhou,1,1261110.833,842,61
Guangzhou,Yinchuan,1,1799336.774,842,9
Hohhot,Tianjin,1,507817.2847,19,429
Hohhot,Kunming,1,1909428.334,19,150
Jinan,Kunming,1,1844535.546,107,150
Yinchuan,Taipei,2,2046676.997,9,676
Chengdu,Taipei,1,1827146.533,496,676
Zhengzhou,Yinchuan,1,746743.9372,61,9
Yinchuan,Shanghai,1,1569331.772,9,6777
Shenyang,Kunming,2,2624578.852,113,150
Changsha,Kunming,2,1064469.023,105,150
Chengdu,Lhasa,3,1220534.626,496,373
Hefei,Chongqing,2,910203.5078,67,448
Lanzhou,Guiyang,1,1107549.512,46,23
Jinan,Hangzhou,1,801122.3864,107,368
Wuhan,Hangzhou,1,493863.2316,233,368
Guangzhou,Taipei,4,834111.03,842,676
Jinan,Shanghai,4,738270.4359,107,6777
Hefei,Fuzhou,1,667189.8591,67,32
Hefei,Wuhan,1,308123.5371,67,233
Fuzhou,Wuhan,1,693849.8461,32,233
Changsha,Taiyuan,1,1098835.428,105,48
Fuzhou,Chengdu,1,1565982.112,32,496
Fuzhou,Tianjin,1,1499872.175,32,429
Beijing,Guiyang,2,1742501.073,19820,23
Zhengzhou,Kunming,1,1445295.678,61,150
Harbin,Tianjin,1,1118186.476,150,429
Beijing,Lanzhou,3,1178833.529,19820,46
Zhengzhou,Chengdu,1,987338.453,61,496
Harbin,Changsha,2,2344212.013,150,105
Lanzhou,Hangzhou,1,1622746.18,46,368
Hefei,Zhengzhou,1,475262.6769,67,61
Hefei,Changsha,3,562814.7335,67,105
Chongqing,Macau,2,1039816.965,448,667
Hefei,Tianjin,1,847789.308,67,429
Changsha,Tianjin,1,1304113.476,105,429
Hefei,Guangzhou,1,1011488.528,67,842
Hefei,Nanning,1,1303934.966,67,72
Hefei,Guiyang,1,1159180.174,67,23
Hefei,Harbin,1,1804195.546,67,150
Hefei,Nanjing,1,143832.7504,67,490
Hefei,Nanchang,1,372173.2638,67,30
Hefei,Shenyang,1,1269433.494,67,113
Hefei,Macau,1,1130453.192,67,667
Hefei,Hohhot,1,1134208.386,67,19
Hefei,Chengdu,1,1262011.283,67,496
Hefei,Jinan,1,558499.3225,67,107
Beijing,Hohhot,1,405570.2224,19820,19
Chongqing,Harbin,1,2460237.337,448,150
Chongqing,Hohhot,1,1257951.742,448,19
Guangzhou,Hohhot,1,1967359.695,842,19
Nanning,Guiyang,1,455097.8834,72,23
Nanning,Zhengzhou,1,1380360.319,72,61
Nanning,Wuhan,1,1022968.2,72,233
Nanning,Harbin,1,3074459.919,72,150
Nanning,Hohhot,1,2012952.878,72,19
Nanning,Shanghai,1,1566671.857,72,6777
Nanning,Tianjin,1,2001021.686,72,429
Nanning,Kunming,1,624642.5292,72,150
Guiyang,Harbin,1,2815180.969,23,150
Guiyang,Changsha,1,651013.2267,23,105
Guiyang,Macau,1,863286.3366,23,667
Guiyang,Nanchang,2,934000.9206,23,30
Guiyang,Hohhot,1,1634417.787,23,19
Guiyang,Jinan,1,1473845.372,23,107
Guiyang,Shanghai,1,1501056.208,23,6777
Zhengzhou,Nanjing,1,578668.0335,61,490
Zhengzhou,Nanchang,1,712355.4231,61,30
Zhengzhou,Shenyang,1,1182384.564,61,113
Wuhan,Nanchang,1,272797.568,233,30
Wuhan,Macau,1,939849.2433,233,667
Wuhan,Jinan,1,733645.8397,233,107
Harbin,Nanjing,1,1728703.599,150,490
Harbin,Nanchang,1,2173581.523,150,30
Harbin,Macau,1,2929523.747,150,667
Hohhot,Chengdu,1,1333297.811,19,496
Hohhot,Jinan,1,654881.0365,19,107
Hohhot,Shanghai,1,1387625.238,19,6777
Nanjing,Tianjin,6,843614.7305,490,429
Nanchang,Shanghai,1,590546.3528,30,6777
Nanchang,Kunming,1,1347053.743,30,150
Shenyang,Hohhot,1,958469.2182,113,19
Macau,Hohhot,1,2093607.679,667,19
Macau,Jinan,1,1660993.866,667,107
Macau,Tianjin,1,1948420.289,667,429
Macau,Kunming,1,1146711.537,667,150
Nanjing,Urumqi,1,2980204.101,490,200
Tianjin,Urumqi,1,2470986.031,429,200
Beijing,Chongqing,20,1373661.605,19820,448
Beijing,Nanjing,16,956930.6173,19820,490
Beijing,Wuhan,9,1094687.443,19820,233
Beijing,Shanghai,442,1106957.787,19820,6777
Beijing,Taipei,27,1766856.153,19820,676
Taipei,Hangzhou,1,579074.5462,676,368
Shenyang,Shanghai,7,1237550.6,113,6777
Beijing,Harbin,7,1113895.058,19820,150
Beijing,Lhasa,20,2530044.259,19820,373
Guangzhou,Shanghai,87,1170930.845,842,6777
Beijing,Shijiazhuang,3,286139.4332,19820,43
Shanghai,Hangzhou,36,237944.7897,6777,368
Wuhan,Shanghai,12,672544.2498,233,6777
Nanning,Macau,2,535130.8512,72,667
Guangzhou,Macau,10,126523.7463,842,667
Chongqing,Nanjing,9,1053840.822,448,490
Beijing,Macau,15,2033258.141,19820,667
Beijing,Chengdu,18,1545740.594,19820,496
Beijing,Hangzhou,17,1192117.669,19820,368
Chengdu,Shanghai,20,1649655.977,496,6777
Chengdu,Hangzhou,6,1477009.112,496,368
Beijing,Changsha,6,1379324.628,19820,105
Chongqing,Chengdu,16,379990.3868,448,496
Beijing,Guangzhou,71,1907884.452,19820,842
